state,sat17_participants,sat18_participants
Alabama,2393,2878
Alaska,2971,3334
Arizona,20466,20188
Arkansas,1065,1591
California,226699,262228
Colorado,5896,58790
Connecticut,43252,44700
Delaware,10060,11055
District of Columbia,4801,4985
Florida,147058,176746
Georgia,63805,74240
Hawaii,7352,7880
Idaho,18757,20484
Illinois,45622,145919
Indiana,45622,48962
Iowa,861,994
Kansas,1199,1419
Kentucky,1608,1925
Louisiana,1696,2027
Maine,13826,14310
Maryland,42919,48040
Massachusetts,56024,59382
Michigan,110082,115281
Minnesota,2061,2464
Mississippi,716,806
Missouri,1990,2420
Montana,990,952
Nebraska,680,688
Nevada,6245,5588
New Hampshire,14758,14834
New Jersey,72173,84672
New Mexico,2342,3225
New York,135141,162551
North Carolina,49595,54987
North Dakota,123,148
Ohio,14545,22992
Oklahoma,2776,3337
Oregon,15866,17476
Pennsylvania,89218,96740
Rhode Island,7205,10161
South Carolina,22292,25390
South Dakota,237,260
Tennessee,3495,4181
Texas,204409,226374
Utah,1277,1425
Vermont,4303,4323
Virginia,57453,61576
Washington,43911,48574
West Virginia,2406,5058
Wisconsin,1780,1923
Wyoming,144,169
